FDID,Value
3182921,Encrypted (Known)
3182923,Encrypted (Known)
3182925,Encrypted (Known)
3182927,Encrypted (Known)
3182929,Not Encrypted (Deduped)
3182931,Not Encrypted (Deduped)
3182933,Not Encrypted (Deduped)
3182935,Not Encrypted (Deduped)
3182937,Not Encrypted (Deduped)
3182939,Not Encrypted (Deduped)
3182941,Not Encrypted (Deduped)
3182943,Not Encrypted (Deduped)
3182945,Not Encrypted (Deduped)
3182947,Not Encrypted (Deduped)
3182949,Not Encrypted (Deduped)
3182951,Not Encrypted (Deduped)
3182953,Encrypted (Known)
3182955,Encrypted (Known)
3182957,Not Encrypted (Deduped)
3182959,Encrypted (Known)
3182961,Not Encrypted (Deduped)
3182963,Not Encrypted (Deduped)
3182965,Not Encrypted (Deduped)
3182967,Not Encrypted (Deduped)
3182969,Not Encrypted (Deduped)
3182971,Not Encrypted (Deduped)
3182973,Not Encrypted (Deduped)
3182975,Not Encrypted (Deduped)
3182977,Not Encrypted (Deduped)
3182979,Not Encrypted (Deduped)
3182981,Encrypted (Known)
3182983,Not Encrypted (Deduped)
3182985,Encrypted (Known)
3182987,Not Encrypted (Deduped)
3183029,Encrypted (Known)
3183031,Encrypted (Known)
3183033,Encrypted (Known)
3183035,Encrypted (Known)
3183037,Encrypted (Known)
3183039,Encrypted (Known)
3183041,Encrypted (Known)
3183043,Encrypted (Known)
3183045,Encrypted (Known)
3183047,Encrypted (Known)
3183049,Encrypted (Known)
3183051,Encrypted (Known)
3183053,Encrypted (Known)
3183056,Encrypted (Known)
3183058,Encrypted (Known)
3183060,Encrypted (Known)
3183062,Not Encrypted (Deduped)
3183064,Not Encrypted (Deduped)
3183067,Not Encrypted (Deduped)
3183069,Not Encrypted (Deduped)
3183071,Not Encrypted (Deduped)
3183073,Not Encrypted (Deduped)
3183075,Not Encrypted (Deduped)
3183077,Not Encrypted (Deduped)
3183079,Not Encrypted (Deduped)
3183081,Not Encrypted (Deduped)
3183083,Not Encrypted (Deduped)
3183085,Not Encrypted (Deduped)
3183087,Not Encrypted (Deduped)
3183089,Not Encrypted (Deduped)
3183091,Not Encrypted (Deduped)
3183093,Not Encrypted (Deduped)
3183096,Not Encrypted (Deduped)
3183098,Not Encrypted (Deduped)
3183100,Not Encrypted (Deduped)
3183102,Not Encrypted (Deduped)
3183105,Not Encrypted (Deduped)
3183107,Not Encrypted (Deduped)
3183109,Not Encrypted (Deduped)
3183111,Not Encrypted (Deduped)
3183113,Not Encrypted (Deduped)
3183115,Not Encrypted (Deduped)
3183117,Not Encrypted (Deduped)
3183119,Not Encrypted (Deduped)
3183121,Not Encrypted (Deduped)
3183123,Not Encrypted (Deduped)
3183125,Not Encrypted (Deduped)
3183127,Not Encrypted (Deduped)
3183291,Not Encrypted (Deduped)
3183292,Encrypted (Known)
3183293,Not Encrypted (Deduped)
3183294,Not Encrypted (Deduped)
3183295,Encrypted (Known)
3183296,Not Encrypted (Deduped)
3183297,Encrypted (Known)
3183298,Encrypted (Known)
3183299,Encrypted (Known)
3183300,Encrypted (Known)
3183301,Not Encrypted (Deduped)
3183302,Encrypted (Known)
3183303,Encrypted (Known)
3183304,Encrypted (Known)
3183305,Encrypted (Known)
3183306,Not Encrypted (Deduped)
3183307,Encrypted (Known)
3183308,Encrypted (Known)
3183309,Encrypted (Known)
3183310,Encrypted (Known)
3183311,Not Encrypted (Deduped)
3183312,Encrypted (Known)
3183313,Not Encrypted (Deduped)
